date,customerId,firstName,lastName,phone,email,gender,address,is_active
2022-09-10,CUS50595231748,Steven,Meyer,(968) 497-6188,ewezimo@nap.am,Female,1605 Mivem Trail,FALSE
2022-09-10,CUS41095949824,Vernon,Bowman,(679) 452-2816,azohu@ki.mg,Male,1117 Hela Terrace,TRUE
2022-09-10,CUS77289220724,Louisa,Curtis,(281) 228-4979,zac@sih.gi,Male,929 Asuha Point,FALSE
2022-09-10,CUS55697703960,Mary,Graham,(321) 707-6736,biz@login.kz,Female,474 Bikav Square,TRUE
2022-09-10,CUS91382780948,Katherine,Sherman,(978) 216-6291,je@som.uz,Female,168 Ibimi Road,FALSE
2022-09-10,CUS36947218124,Nathan,Lyons,(787) 974-4062,ap@ru.si,Female,1769 Nadpus Manor,TRUE
2022-09-10,CUS15964882412,Mayme,Campbell,(562) 876-4720,ciwu@imfubu.mr,Male,131 Zioze Plaza,FALSE
2022-09-10,CUS26768799060,Loretta,Vargas,(226) 607-7677,ju@viguhibe.bi,Female,1662 Ebpu Square,FALSE
2022-09-10,CUS41482828460,Mildred,Lynch,(453) 244-5871,iheconba@vijuw.st,Female,217 Oteeb Manor,FALSE
2022-09-10,CUS86644713624,Evan,Rice,(680) 599-5547,rif@awiliz.sn,Male,381 Luucu Manor,TRUE
2022-09-10,CUS18553885024,Maud,Torres,(938) 281-4100,ezubus@tufup.kr,Female,731 Gapdog Point,TRUE
2022-09-10,CUS99303985336,Sophie,Fowler,(323) 286-2171,elici@zem.tv,Female,1749 Gurop Pass,TRUE
2022-09-10,CUS42551969148,Maude,Marshall,(778) 849-1853,wujvupave@lagesah.gov,Male,139 Hoheco Center,TRUE
2022-09-10,CUS55761056324,Willie,Tucker,(871) 278-8835,zioce@pok.vu,Female,1664 Tucji Pass,FALSE
2022-09-10,CUS11341685648,Luella,Rodriquez,(953) 279-1467,ic@wo.ec,Male,1317 Kafiw Square,TRUE
2022-09-10,CUS55429722860,Katherine,Harvey,(655) 744-7178,gap@to.cv,Male,450 Zilzun Boulevard,FALSE
2022-09-10,CUS43029339648,Jennie,Miles,(972) 563-7642,ce@bim.nz,Male,111 Curca Loop,TRUE
2022-09-10,CUS96966287260,Lou,Davidson,(544) 859-9402,ji@gekuano.co.uk,Female,578 Hilfa Junction,TRUE
2022-09-10,CUS54383397336,Corey,Wheeler,(479) 607-6120,aziuwuok@ul.sc,Male,1272 Weome Parkway,TRUE
2022-09-10,CUS61363880324,Jerome,Bryant,(511) 720-4165,gefuszuf@bilaros.eh,Female,393 Mire Loop,TRUE
2022-09-10,CUS24086580724,Brandon,Henry,(864) 626-6375,wosku@mulezlej.tw,Female,756 Isauno Pass,FALSE
2022-09-10,CUS97543566636,Phillip,Atkins,(786) 236-8746,gebevame@kipkig.gr,Female,210 Hetil Square,FALSE
2022-09-10,CUS78841250924,Cora,Hernandez,(824) 956-1832,gev@nuguwu.bv,Female,119 Itef Drive,TRUE
2022-09-10,CUS35984920648,Ellen,Dean,(557) 755-3587,supzaru@rek.tp,Female,288 Heuj Boulevard,FALSE
